Nom;Nom latin;Type;Taille;Envergure;Poids;Couleurs principales;Bec;Couleur bec;Periode d'abscence;Pattes;Couleur pattes;Régime alimentaire
Sarcelle d'été;Spatula querquedula;Canard;37-41;60-63;0.3-0.45;Marron/Noir/Blanc;Aplati;Noir;01/02/11/12;3 Palmé;Brun;Omnivore
Canard Colvert;Anas platyrhynchos;Canard;50-65;81-98;0.8-1.4;Vert/Brun/Bleu;Aplati;Jaune;;3 Palmé;Orange;Omnivore
Canard Mandarin;Aix galericulata;Canard;41-49;68-74;0.4-0.7;Blanc/Brun/Roux;Aplati;Rouge/Blanc;;3 Palmé;Brun;Omnivore
Cygne Tuberculé;Cygnus olor;Canard;125-155;200-235;9.0-13;Blanc;Pointu tubercule;Rouge;04/05/06/07/08/09/10;3 Palmé;Noir;Omnivore
Macreuse Noire;Melanitta nigra;Canard;44-54;79-90;1.3-1.5;Noir;Aplati tubercule;Noir/Jaune;05/06/07/08/09;3 Palmé;Noir;Crustacivore
Harle Huppé;Mergus serrator;Canard;52-58;70-86;1.0-1.2;Noir/Roux/Blanc;Fin crochu;Rouge;05/06/07/08/09;3 Palmé;Orange;Crustacivore
Avocette élégante;Recurvirostra avosetta;Echassier;42-45;77-80;0.2-0.4;Blanc/Noir;Fin retroussé;Noir;;Sans doigt arrière;Bleu;Crustacivore/Insectivore
Glaréole à collier;Glareola pratincola;Echassier;24-27;60-65;0.07-0.09;Brun;Large avec culmen prononcé;Noir/Rouge;01/02/03/11/12;Anisodactyle avec ergot;Brun;Insectivore
Bécasseau rousset;Calidris subruficollis;Echassier;18-20;43-47;0.045-0.12;Brun/Beige;Fin;Brun;01/02/03/11/12;Anisodactyle avec ergot;Jaune;Insectivore/Herbivore
Barge rousse;Limosa lapponica;Echassier;37-41;70-80;0.25-0.6;Roux/Marron;Fin retroussé;Brun;06-juil;Anisodactyle avec ergot;Brun/Noir;Crustacivore/Insectivore
Chevalier gambette;Tringa totanus;Echassier;27-29;59-66;0.11-0.155;Brun/Blanc;Fin;Rouge/Noir;;Anisodactyle avec ergot;Rouge;Crustacivore/Insectivore
Heron cendré;Ardea cinerea;Echassier;90-98;160-175;0.6-1.2;Gris/Noir;Long en épée;Jaune;;Anisodactyle longue griffe arrière;Gris/Jaune;Piscivore/Carnivore
Mouette Pygmée;Hydrocoloeus minutus;Mouette;25-27;75-80;0.09-0.15;Blanc/Gris;Fin;Rouge/Noir;05/06/07/08/09;Anisodactyle avec ergot;Rouge;Piscivore/Insectivore
Goéland Brun;Larus fuscus;Mouette;52-67;135-155;0.65-1;Blanc/Noir;Large avec culmen prononcé;Jaune/Rouge;;Anisodactyle avec ergot;Jaune;Omnivore
Sterne caspienne;Hydroprogne caspia;Mouette;52-56;127-140;0.55-0.75;Gris/Blanc;Epais;Rouge;01/02/03/10/11/12;Anisodactyle avec ergot;Noir;Piscivore/Insectivore
